id,상호명,검색어,주소,x,y,place_url,category
23,학교종이땡땡땡,학교종이땡땡땡 동작구,서울 동작구 흑석로13마길 65-9,126.959170509103,37.507599921896,http://place.map.kakao.com/219584532,음식점 > 한식
24,치즈밥있슈,치즈밥있슈 동작구,서울 동작구 흑석로9길 15,126.95924623538,37.5076945535605,http://place.map.kakao.com/1367136448,음식점 > 퓨전요리
25,단비,단비 동작구,서울 동작구 흑석로9길 13,126.95941364661886,37.50765496698465,http://place.map.kakao.com/16475334,음식점 > 분식
26,라이스&포테이토,라이스&포테이토 동작구,서울 동작구 흑석로 83,126.95875228505402,37.50714567010883,http://place.map.kakao.com/21423557,음식점 > 한식
27,더진국 중앙대점,더진국 중앙대점 동작구,서울 동작구 흑석로 83-1,126.9588087797918,37.50724660237858,http://place.map.kakao.com/27278262,음식점 > 한식 > 국밥 > 더진국
28,정식당,정식당 동작구,서울 동작구 흑석로 85-9,126.959336774498,37.5075873651796,http://place.map.kakao.com/398516020,음식점 > 한식
29,곱창의전설 중앙대점,곱창의전설 중앙대점 동작구,서울 동작구 흑석로 87,126.959365132784,37.5074342041021,http://place.map.kakao.com/1195335278,"음식점 > 한식 > 육류,고기 > 곱창,막창"
30,오여사 즉석떡볶이 중앙대점,오여사 즉석떡볶이 중앙대점 동작구,서울 동작구 흑석로13가길 43,126.959641095843,37.5074397047406,http://place.map.kakao.com/2005742979,음식점 > 분식 > 떡볶이
31,장독대,장독대 동작구,서울 동작구 흑석로 112,126.961653819369,37.5083612022397,http://place.map.kakao.com/15727417,"음식점 > 술집 > 호프,요리주점"
32,하브,하브 동작구,서울 동작구 흑석로8길 3,126.95966394143376,37.507020745236616,http://place.map.kakao.com/2136042923,음식점 > 양식
33,피자보이시나 중앙대본점,피자보이시나 중앙대본점 동작구,서울 동작구 흑석로9길 6,126.959862627754,37.507711883705,http://place.map.kakao.com/27564653,음식점 > 양식 > 피자
34,아스카라멘,아스카라멘 동작구,서울 동작구 흑석로 88,126.95941732743103,37.507123375329506,http://place.map.kakao.com/284492856,음식점 > 일식 > 일본식라면
35,커리야 중앙대점,커리야 중앙대점 동작구,서울 동작구 흑석로 97-4,126.960292400962,37.5077336530727,http://place.map.kakao.com/1046247462,음식점 > 아시아음식 > 인도음식
36,하노이별 중앙대점,하노이별 중앙대점 동작구,서울 동작구 흑석로 81-5,126.95854190242,37.5071744286176,http://place.map.kakao.com/8146461,음식점 > 아시아음식 > 동남아음식 > 베트남음식
37,흑석동프랑세즈,흑석동프랑세즈 동작구,서울 동작구 현충로 96,126.964264421125,37.5079367465831,http://place.map.kakao.com/18771379,"음식점 > 간식 > 제과,베이커리"
38,재팔이네닭발 본점,재팔이네닭발 본점 동작구,서울 동작구 서달로14길 34,126.964739688442,37.5074251186205,http://place.map.kakao.com/832603565,음식점 > 한식
39,삼목등심,삼목등심 동작구,서울 동작구 흑석로13길 9,126.9606230602247,37.509118608110946,http://place.map.kakao.com/15256268,"음식점 > 한식 > 육류,고기"
40,조안찐빵만두 상도점,조안찐빵만두 상도점 동작구,서울 동작구 상도로 298,126.949095331537,37.5011339992797,http://place.map.kakao.com/20541876,음식점 > 분식
41,카페레인보우,카페레인보우 동작구,서울 동작구 상도로38길 3-2,126.947863067021,37.5021407863039,http://place.map.kakao.com/314851144,음식점 > 카페
42,오후홍콩 중앙대본점,오후홍콩 중앙대본점 동작구,서울 동작구 흑석로13가길 29,126.96008873810617,37.50788495325467,http://place.map.kakao.com/587570196,음식점 > 카페 > 테마카페 > 디저트카페
43,우부래도 상도점,우부래도 상도점 동작구,서울 동작구 상도로37길 3,126.94860991263585,37.5031592499281,http://place.map.kakao.com/190594939,"음식점 > 간식 > 제과,베이커리"
44,명동국수집,명동국수집 동작구,서울 동작구 상도로41길 12,126.949967985062,37.5017506600739,http://place.map.kakao.com/264362193,음식점 > 한식 > 국수
45,터방내,터방내 동작구,서울 동작구 흑석로 101-7,126.960803475443,37.5080077292449,http://place.map.kakao.com/16593550,음식점 > 카페 > 커피전문점
46,인근주민 상도점,인근주민 상도점 동작구,서울 동작구 양녕로 265,126.94824762516072,37.503717715178254,http://place.map.kakao.com/1446660533,음식점 > 치킨
47,써브웨이 중앙대점,써브웨이 중앙대점 동작구,서울 동작구 흑석로 79,126.95845831346196,37.50698428719987,http://place.map.kakao.com/13081848,음식점 > 패스트푸드 > 샌드위치 > 써브웨이
48,파슬리 파슬리 흑석점,파슬리 파슬리 흑석점 동작구,서울 동작구 흑석로6길 18,126.956667435561,37.505897031691,http://place.map.kakao.com/1108585700,음식점
49,제3공간,제3공간 동작구,서울 동작구 흑석로6길 16,126.95679181637,37.5059448305326,http://place.map.kakao.com/16083030,음식점 > 카페 > 커피전문점
